majorSeq,major,interest,property,공통과목,일반선택과목,진로선택과목
10006,가정교육과,"평소 친구, 가족, 주변 사람 등 사람에 대해 관심이 많거나 주변 사람의 고민을 들어 주는 상담에 흥미가 있다면 이 학과에 관심을 가져 볼 만합니다. 특히 인간에 대한 사랑과 타인에 대한 배려, 봉사 정신 등이 있다면 학과 공부에 도움이 됩니다. 기술ㆍ가정 교과목이나 심리 및 교육에 적성이 있다면 도움이 됩니다. ","영양학, 의류학, 주거학, 가족학 등의 교과내용학을 배웁니다. 가정과교육론, 가정과교수법 등의 교과교육학에 대한 전문적인 지식을 배웁니다. 조리실습, 의복구성실습, 주거실습 등을 통해 가정교과에 대한 이론적인 지식뿐 아니라 서양의복 구성, 한국 조리 및 서양 조리 실습, 조리과학 등의 실험ㆍ실습 교과목을 통하여 실천적 능력을 함양합니다.","영어, 기술ㆍ가정, 윤리","기술ㆍ가정교과 : 기술ㆍ가정<br>사회교과 : 생활과 윤리, 윤리와 사상<br>교양교과 : 철학, 심리학, 교육학","공학일반, 창의경영, 해양 문화와 기술, 가정과학, 지식재산 일반"
10,간호학과,"인체나 질병, 생명 등에 대한 관심이 있고, 남을 도와주는 것을 좋아하는 사람이면 좋습니다. 간호학은 기초 의학 분야를 공부하기 때문에 생물이나 화학 등의 교과목을 잘해야 하고, 병원에서 다양한 사람과 아픈 환자들을 만나고 함께 생활해야 하기 때문에 대인 관계 능력이 좋아야 합니다.",신체적으로나 정신적으로 건강하게 일생을 살아가는 것은 가장 큰 복이라고 할 수 있습니다. 아픈 사람을 돌보며 다른 사람을 도우며 사는 삶에 대해 배울 수 있는 곳이 간호학과입니다. 과거에는 여성들만 진학하는 학과라는 편견이 있었지만 남성들도 점차 많이 진학하고 있습니다.,"영어, 과학, 윤리","영어교과 : 영어Ⅰ, 영어Ⅱ, 영어 독해와 작문<br>과학교과 : 생명과학Ⅰ, 화학Ⅰ<br>사회교과 : 생활과 윤리, 윤리와 사상<br>교양교과 : 철학, 심리학","생명과학Ⅱ, 화학Ⅱ"
11,건강관리학과,기본적으로 스포츠를 좋아하고 체육 교과목에 대한 관심이 있어야 합니다. 관심있는 스포츠 종목에 대한 지식과 다양한 기술을 알고 있어야 적절한 판단을 할 수 있습니다. 고객의 상태나 특성을 빠르게 분석하고 올바른 판단을 할 수 있는 능력이 요구됩니다.,"운동은 의학적인 효과를 입증 받고 있고, 국가에서도 국민의 건강과 삶의 질 향상을 위해 운동이 적극 권장되고 있습니다. 지역사회는 물론 국가차원에서도 건강증진을 위한 과학적인 운동방법(운동처방)에 대한 요구와 수요가 점점 많아지고 있습니다. 과도한 운동이나 잘못된 방식의 운동은 오히려 우리 몸에 해가될 수 있습니다. 올바른 자세로 적정한 운동을 하도록 지도하는 일은 건강관리학을 전공한 전문가의 몫입니다.
","체육, 윤리","체육교과 : 체육, 운동과 건강<br>사회교과 : 생활과 윤리, 윤리와 사상<br>교양교과 : 철학, 심리학, 교육학","스포츠 생활, 체육 탐구"
21002,건설공학교육과,"건축과 토목에 대한 관심을 바탕으로 재료에 대한 특성에 적성이 있고 기본적으로 수학이나 물리학 과목에서 다루는 수식을 계산하는 것을 좋아하는 학생들에게 적합합니다. 특히 건축, 토목, 도로, 항만, 시설, 구조학 등과 같은 분야에 흥미가 있으면 좋습니다. 새로운 것에 호기심이 많고 궁금증을 풀기 위해 끝까지 노력하는 성격이면 더욱 좋습니다. 복잡한 시스템의 구조를 정확하게 분석하고 잘 이해할 수 있는 능력이 있으면 유리합니다.",건설공학교육과는 건설공학분야 교사 및 전문가로서 지식과 역량을 갖출 수 있도록 건설공학 전반에 대한 교과이론 및 NCS 기반 실험실습을 교육하고 건설에 대한 이론과 실무 능력을 배양하며 일반교육학 및 교과교육학 이수를 통해 교직에 대한 종합적인 이해와 교육관을 가진 교육전문가로서 능력을 함양하게 하여 건설공학 교육분야를 이끌어나갈 우수한 교사를 양성하고 교육 전문가 및 건설공학 현장 전문가로서 기술을 학습합니다. ,"수학, 과학","수학교과 : 수학ⅠㆍⅡ, 미적분, 확률과 통계<br>과학교과 : 물리학Ⅰ, 화학Ⅰ<br>기술ㆍ가정교과 : 기술ㆍ가정, 정보","기하, 수학과제 탐구, 물리학Ⅱ, 화학Ⅱ, 생활과 과학, 융합 과학, 공학 일반"
17,건축공학과,"평소 주변에서 흔히 볼 수 있는 다양한 건축물에 대해 관심이 있다거나. 사진 또는 그림 그리기를 좋아하는 경우 건축계획과 건축설계 과목을 배우는데 도움이 됩니다. 건축공학은 구조역학, 재료공학, 각종 시험 등 수학 및 물리적인 지식을 많이 요구하는데 학교에서 수학이나 물리, 화학 등의 과목을 잘하면 도움이 됩니다. 건축설계나 구조분석 등을 위해 Auto CAD, 3D Max, 스케치업, 레빗 등과 같은 PC용 전문 프로그램을 많이 사용하는데 평소 PC 사용에 익숙하고 새로운 프로그램을 이용 하는 것에 두려움이 없으면 도움이 됩니다.","건축공학은 우리 주변에서 흔히 볼수 있는 주택ㆍ아파트, 학교, 사무실, 스포츠 경기장 등 여러 형태와 용도를 가진 하나의 건축물이 만들어지기까지 필요한 기술과 방법을 배우는 학문이라 볼 수 있습니다. 최근에는 건축과 관련된 경제, 경영, 건설IT 등 융복합 내용까지 다루고 있습니다. 이에 반해 건축학과는 공학적 지식과 함께 인간의 문화와 역사, 예술사와 철학등을 포함한 문화ㆍ사회적인 분야까지 보다 포괄적으로 배우는 것이 다른 점이라 할 수 있습니다.  ","수학, 사회, 과학, 기술ㆍ가정","수학교과 : 수학ⅠㆍⅡ, 미적분, 확률과 통계<br>사회교과 : 한국지리, 세계지리, 사회ㆍ문화<br>과학교과 : 물리학Ⅰ, 화학Ⅰ, 지구과학Ⅰ<br>기술ㆍ가정교과 : 기술ㆍ가정, 정보","실용수학, 기하, 수학과제 탐구, 사회문제 탐구, 물리학Ⅱ, 화학Ⅱ, 지구과학Ⅱ, 생활과 과학, 융합과학, 공학 일반"
20,건축학과,"건축은 일상생활에 밀접한 관계를 갖고 있어 문화와 예술을 반영하므로, 사회현상이나 문화?예술과 관련된 분야에 폭넓은 관심을 가지고 있으면 좋습니다. 건축 공간을 상상하고 구성해 볼 수 있는 공간 지각력,과 건축물의 실내외 구성에 필요한 미술 감각, 그리고 사용 목적에 맞는 건축물을 만들기 위한 여러 분야에 대한 폭넓은 관심과 자료수집 능력이 필요합니다. 건축물을 설계하는데 필요한 다양한 프로그램을 쉽게 배울수 있도록 컴퓨터 활용능력도 갖추면 좋습니다.","건축ㆍ건설 기술은 우리 생활과 삶의 방식을 기초로 빠르게 발전하여 다양화, 첨단화, 정보화되고 있습니다. 건축 설계에 따른 구조 설계, 건축 시공과 건축물의 관리까지 전 분야에 걸쳐 ICT 기술을 활용하고 있습니다. 최근에는 BIM(Building Information Modeling) 설계, 증강현실(AR)과 가상현실(VR)을 이용한 건축 설계, 3D프린터를 활용한 건축 3D모델링, 드론을 활용한 건축 측량, 사물인터넷(IoT)을 활용한 건축 공간 구성, 인공지능(AI)을 활용한 건축 법규 검토 등 최신 기술이 건축학과에 접목하여 사용되고 있습니다.","수학, 사회, 과학, 기술ㆍ가정","수학교과 : 수학ⅠㆍⅡ, 미적분, 확률과 통계<br>사회교과 : 한국지리, 세계지리, 사회ㆍ문화<br>과학교과 : 물리학Ⅰ, 화학Ⅰ, 지구과학Ⅰ<br>기술ㆍ가정교과 : 기술ㆍ가정, 정보","실용수학, 기하, 수학과제 탐구, 사회문제 탐구, 물리학Ⅱ, 화학Ⅱ, 지구과학Ⅱ, 생활과 과학, 융합과학, 공학 일반"
21,게임공학과,"PC나 모바일, 게임 기기를 이용한 게임을 좋아하고 특히 게임을 직접 개발 하는 것에 흥미를 가진 사람에게 유리합니다. 게임 소프트웨어를 개발하기 위해서는 프로그래밍 개발 언어를 배워야 하는데 이에 필요한 논리적인 사고능력과 게임기획자, 게임 디자이너와 함께 일하는 만큼 팀에서 의사소통하면서 역할을 할 수 있는 능력이 필요합니다. ","게임공학은 스마트폰, 게임콘솔, VR기기, 컴퓨터 등 다양한 기기에서 작동하는 게임개발에 필요한 프로그래밍 방법과 게임 기획에 대해 배우게 됩니다. 게임 기획은 크게 전반적인 게임구성과 규칙을 만드는 시스템 기획자와 게임의 난이도, 사용자의 플레이 패턴 등을 기획하는 레벨기획자로 구분되기도 합니다. 게임기획부터 개발, 디자인에 이르기까지 게임과 관련된 폭넓은 지식을 배우는 것이 게임공학과의 특성이라 할 수 있습니다.","수학, 과학, 예술, 생활ㆍ교양, 사회, 국어","수학ㆍ과학교과 : 수학Ⅰ, 수학Ⅱ, 확률과 통계, 물리학Ⅰ, 지구과학Ⅰ<br>예술ㆍ사회교과 : 미술, 연극, 음악, 사회문화, 생활과 윤리, 세계사, 경제<br>생활ㆍ교양교과 : 정보, 심리학, 논술, 인문학적 감성과 역사이해, 문학적 감성과 상상력","미술창작, 미술/음악 감상과 비평, 사회문제 탐구, 고전 읽기, 융합 과학, 지식재산 일반, 창의 경영, 수학탐구 과제, 기하"
10139,경영정보학과,컴퓨터와 데이터에 대해 관심을 가질 필요가 있습니다. 창의적인 문제 해결 및 응용 능력이 필요하며 데이터를 다루는 기술과 분석 능력이 요구됩니다. 빅데이터에 관심을 가지고 응용해보려는 노력이 필요합니다. ,"경영정보학은 경영에 정보기술을 효과적으로 활용하는 방안을 다루기 때문에 진로선택의 폭이 매우 넓은 편 입니다. 경영을 중심으로 공부할 수도 있고, 인터넷을 비롯해 정보기술의 활용을 중심으로 공부할 수 있으며, 경영과 정보기술의 융합영역을 공부할 수도 있습니다. 또한, 경영정보학과는 현장의 수요에 맞는 교과과정을 운영하여, 실무형 인재를 양성하고자 국제적 감각을 높이기 위한 영어강좌를 운영하여, 외국 대학과 학생 간의 교류도 이루어지고 있습니다.","영어, 사회, 생활ㆍ교양","영어교과 : 영어 회화, 영어I, 영어Ⅱ<br>사회교과 : 한국지리, 세계지리, 경제, 사회ㆍ문화, 생활과 윤리<br>생활ㆍ교양교과 : 심리학, 교육학, 실용 경제","실용 수학, 실용 영어, 진로 영어, 사회문제 탐구, 창의 경영, 지식 재산 일반"
23,경영학과,"조직에서 팀워크를 이루어 목표를 세우고, 성과를 높이기 위해 노력하고 경영 활동을 분석하는 것에 흥미가 있다면 경영학에 매력을 느낄 것입니다. 또, 기업경영의 추세가 빈번히 변화하는 특성이 있으므로, 유연하고 창의적인 사람이 적성에 맞을 것입니다. ‘경영’이란 혼자가 아니라 조직을 통해 수행하는 것이므로 활동적이고 사교적이면 더욱 좋습니다. ","경영학은 실용적인 학문으로 평가되며 학생들의 선호도가 높은 학과 중 하나입니다. 경영학과의 역사는 다른 학문 영역에 비해 짧은 편이지만, 이론과 현실을 접합하여 업무 현장에서 활용되는 기술을 배우며, 조직의 생산성을 높이기 위한 문제해결 능력을 익힐 수 있습니다. 특히 신기술 창업 기업을 효율적으로 운영할 수 있는 노하우도 기를 수 있습니다.","수학, 사회, 기술ㆍ가정, 생활ㆍ교양","수학교과 : 수학I, Ⅱ, 미적분, 확률과 통계<br>사회교과 : 경제, 생활과 윤리<br>기술ㆍ가정교과 : 정보<br>생활ㆍ교양교과 : 실용 경제","실용 수학, 기하, 경제 수학, 수학 과제 탐구, 사회문제 탐구, 창의 경영, 지식 재산 일반"
25,경제학과,"평소에 신문, 텔레비전에서 경제 뉴스를 보는 것을 즐긴다거나, 학교 다닐 때 선택과목으로 경제를 즐겁게 공부한 경험이 있다면 대학교에서도 경제학을 흥미롭게 공부할 수 있을 것입니다. 한편, 경제학에서는 여러 그래프, 수식 및 통계를 다루므로 수리적인 능력이 있으면 유리합니다. 또, 경제 현상을 분석하는 논리력이 필요하므로 평소에 합리적, 논리적으로 생각하는 습관에 길들여져 있으면 좋습니다.","단순히 ‘돈에 대한 학문’이라 오해할 수도 있지만, 경제학과는 ‘한정된 자원을 놓고 일어나는 인간의 행동과 그 결과를 공부합니다. 그런 점에서 기업 경영에 대해 주로 공부하는 경영학과와는 차별점을 두고 있습니다.","수학, 과학, 기술ㆍ가정, 생활ㆍ교양","수학교과 : 수학Ⅰ, Ⅱ, 미적분, 확률과 통계<br>사회교과 : 경제, 생활과 윤리<br>기술ㆍ가정교과 : 정보<br>생활ㆍ교양교과 : 실용 경제  ","실용 수학, 기하, 경제 수학, 수학 과제 탐구, 사회문제 탐구, 지식 재산 일반"
27,경찰행정학과,"경찰행정학과의 졸업생 대부분은 경찰관으로 진출합니다. 따라서 형사, 수사 등 경찰의 업무에 대한 관심이 필요합니다. 평소 뉴스나 신문을 통해 경찰관에 대해 이해하려는 노력도 필요합니다. 경찰 업무는 사람을 대상으로 하는 일이므로 사람을 존중하고, 어려운 처지에 있는 사람들을 잘 도와주는 책임감ㆍ사명감ㆍ봉사정신이 강한 학생에게 적합합니다. ","경찰행정학은 경찰의 업무를 체계적으로 수행할수 있도록 이끌어 주는 학문입니다. 실제 업무 수행을 위해서 경찰행정학과에서는 각종 이론적 지식과함께 무술, 체포술과 같은 무도 기술을 습득합니다. 또한 최근 각종 강력 범죄, 특수 범죄가 증가하는 등 고도로 조직화된 범죄에 대한 대처 능력을 지닌 인재양성을 위한 보다 전문적인 교육이 제공됩니다. ","사회, 생활ㆍ교양","사회교과 : 한국지리, 세계지리, 세계사, 경제, 정치와 법, 사회ㆍ문화, 생활과 윤리, 윤리와 사상<br>생활ㆍ교양교과 : 철학, 논리학, 심리학",사회문제 탐구
10041,경호학과,"신체가 건강하고 의협심이 강한 사람에게 적합합니다. 운동신경이 좋아야 하며, 정확한 판단력과 순발력이 있어야 합니다. 남에 대한 배려, 리더십, 분석적 사고 등도 중요합니다. 무도 중심의 과목들만 배울 뿐만 아니라 이론과목도 공부하므로 사회과학 분야에 대한 지식도 필요합니다.","사회가 개방화, 도시화, 과학화되고 정보통신이 발달하면서 과거 어느 때보다 복잡해지고 있으며, 이로 인해 각종 범죄가 증가하고 있습니다. 또, 전 세계적으로 경호의 영역이 첨단기계 경비 및 인텔리전트 빌딩 등의 관리와 각종 재해 방지로 확대되면서경호학과의 중요성이 날로 커지고 있습니다.","체육, 윤리","체육교과 : 체육, 운동과 건강<br>사회교과 : 생활과 윤리, 윤리와 사상<br>교양교과 : 철학, 심리학, 교육학","스포츠 생활, 체육 탐구"
29,고고학과,"중ㆍ고등학교 때에 국사 및 세계사 등 역사 과목을 즐겁게 공부했으면 이 학과에 입학할 기본적인 조건을 갖춘 것이나 마찬가지입니다. 인간에 대한 깊은 호기심을 가지며, 인류와 사회의 발달 과정에 대해 흥미를 느낀다면 4년 내내 흥미를 가지고 공부할 수 있을 것입니다. 사료와 사료 사이의 여러 상황을 생각하는 상상력이 풍부하면 좋으며, 더불어 논리력을 갖추면 유리합니다. ","고고학과는 다양한 자료ㆍ유물을 바탕으로 인간과 사회 문제를 시간적 변화 속에서 분석한다는 점에서 모든 인문과학의 기초나 다름없습니다. 학과 특성상, 문화 유적 답사 및 유적 발굴 등 역사적 체험을 할 수도 있습니다. 고고학은 국제화 추세에 따라 세계 각 지역에 대한 전문적인 연구의 필요성이 급증하고 있으므로 고고학 관련 전공자에 대한 수요는 급증할 것으로 전망됩니다.","사회, 역사, 한문, 수학, 영어, 제2외국어","사회교과 : 사회문화, 세계사, 동아시아사, 한국지리, 윤리와 사상<br>한문ㆍ외국어교과 : 한문Ⅰ, 한문Ⅱ, 영어Ⅰ, 영어Ⅱ, 중국어Ⅰ, 일본어Ⅰ<br>수학교과 : 수학Ⅰ, 수학Ⅱ, 확률과 통계","사회문제 탐구, 고전 읽기, 고전과 윤리, 여행지리, 현대 세계의 변화"
30,고분자공학과,"평소 사물에 대한 관심이나 재료와 재질에 대해 알아보길 좋아하고, 각종 측정이나 반복적인 실험과 같은 일에도 질리거나 지치지 않는 사람에게 적합합니다. 여러 공학적 문제를 해결하기 위한 창의력과 분석적 사고, 수리적 사고, 기초 과학 분야에 대한 지식이 필요합니다. ","고분자는 지구상에 존재하는 거의 모든 제품에 사용되는 재료로 자동차 타이어, 우주선 기체의 복합재료, 스텔스 항공기용 페인트, 유기반도체, 연료전지, 투명전극 등 가정용품 부터 첨단산업제품 까지 산업 전 분야에 걸쳐 광범위하게 사용되고 있습니다. 고분자 공학은 주로 고분자 재료와 특성, 관련 이론을 공부하는 것이 신소재 공학이나 재료공학과와 다른 점이라 할 수 있습니다.","수학, 과학, 기술ㆍ가정","수학교과 : 수학Ⅰ, 수학Ⅱ, 미적분, 확률과 통계<br>과학교과 : 물리학Ⅰ, 화학Ⅰ<br>기술ㆍ가정교과 : 기술ㆍ가정, 정보","기하, 물리학Ⅱ, 화학Ⅱ, 공학 일반"
34,공업디자인학과,예술적 안목이 있고 미적 감각과 감수성이 좋고 표현력이 우수한 사람들에게 적합한 전공입니다. 새로운 아이디어를 이끌어낼 수 있는 호기심과 관찰력이 중요합니다. 산업계의 변화 트렌드를 읽을 수 있어야 하고 디자인을 산업 기기에 적용할 수 있는 능력이 있어야 합니다.,"우수한 공업디자인의 결과물은 사용자 개인에게는 만족감을 주고 보다 편리하게 사용을 할 수 있도록 합니다. 기업에게는 이익을 높이고 기업 이미지를 높일 수 있는 효과를 가져 오고, 국가 사회적 차원으로는 국가경쟁력과 문화수준을 높여 줍니다.","미술, 윤리","예술교과 : 미술<br>사회교과 : 생활과 윤리, 윤리와 사상<br>교양교과 : 철학, 심리학, 교육학","미술 창작, 미술 감상과 비평"
35,공업화학과,"주변에서 볼 수 있는 각종제품의 재료에 대해 관심을 갖거나, 새로운 제품의 재질에 흥미를 느끼는 사람에게 적합합니다. 공업화학은 화학공정을 연구하거나 이에 필요한 장비를 설계하고 개발 하므로 분석적인 사고와 창의력이 필요하고 여러 분야의 공학기술자와 팀으로 작업하는 경우가 많으므로 대인관계능력도 필요합니다. ","새로운 제품개발, 제조기술 개발, 화학기술 분야 전반에서 전문화와 첨단화가 가속되고 있습니다. 고무줄처럼 늘어나는 고효율배터리, 전류가 통하는 유기 전자 소재인 OLED, 투명하거나 접을 수 있는 디스플레이 개발 등 공업화학과 새로운 화학재료의 발전은 지속되고 있습니다.  ","과학, 수학, 교양, 영어","과학교과 : 화학Ⅰ, 생명과학Ⅰ, 물리Ⅰ, 지구과학Ⅰ<br>수학교과 : 수학Ⅰ, 수학Ⅱ, 미적분, 확률과 통계<br>교양교과 : 논리학, 철학, 환경, 논술, 보건학","화학Ⅱ, 물리Ⅱ, 융합과학, 과학사, 생활과 과학, 기하, 공학 일반, 사회문제 탐구"
39,공예디자인학과,다양한 환경 속에서 기능하는 다양한 생활도구나 조형물을 새로운 시각에서 디자인할 수 있는 자신만의 생각이 있어야 합니다. 새로운 아이디어를 내고 자신만의 색깔이 있는 사람에게 유리한 전공입니다. 최근에는 컴퓨터를 활용하여 디자인을 하는 것이 일반적 추세이어서 디자인 관련 컴퓨터 프로그래밍을 잘 할 수 있어야 합니다. 다양한 공예 소재에 대한 이해가 있어야 하고 생활 속의 공예품을 만들 수 있는 능력이 있어야 합니다. ,‘공예’는 자기가 주도하는 디자이너이자 공예가로 평생을 함께 할 수 있는 전공입니다. 공예를 전공해 익힌 노하우와 능력의 발휘는 기업과 같은 조직에서 디자이너로서 일할 수 있을 뿐만 아니라 언제든 혼자서도 공예가로서 일할 수 있어서 평생 직업으로서의 매력이 큽니다. ,"미술, 윤리","예술교과 : 미술<br>사회교과 : 생활과 윤리, 윤리와 사상<br>교양교과 : 철학, 심리학, 교육학","미술 창작, 미술 감상과 비평"
41,공예학과,예술 분야에 관심이 많고 평소에 어떤 물건이든 만들어 내는 일을 즐겨 하는 사람이라면 흥미롭게 공부할 수 있는 분야입니다. 예술 감각이 필요하며 각종 재료 및 도구를 이용하여 제품을 만들기 때문에 손재주가 있어야 합니다. 또한 훌륭한 공예품을 만들기 위해서는 전문적인 지식과 오랜 숙련된 기술이 필요한데 이것을 이루기 위해서는 상당 기간 숙련을 쌓을수 있는 인내심과 의지력이 필요합니다.,"공예학과는 조형 전반에 대한 이해를 바탕으로 공예의 각 분야를 고루 익힌 후에 도자공예, 목공예, 금속공예 등 세부 전공을 선택하여 공부합니다. 수공방식으로도 생산된다는 점에서 대량생산에만 의존하는 산업디자인과 구분되며, 일상생활과 밀접한 공예품을 제작한다는 점에서 조소와 차이가 있습니다.","미술, 윤리","예술교과 : 미술<br>사회교과 : 생활과 윤리, 윤리와 사상<br>교양교과 : 철학, 심리학, 교육학","미술 창작, 미술 감상과 비평"
44,과학교육과,"학생들을 가르치는 일을 하게 될 가능성이 높으므로 누군가를 가르치면서 기쁨을 느끼거나 흥미를 느끼는 학생들에게 적합합니다. 과학과 밀접한 관련을 맺고 있는 과목들을 배우기에 평상시 사물을 꼼꼼하게 관찰하는 능력이 높으면 좋습니다. 논리적으로 사고할 수 있는 능력과 수리력도 있으면 도움이 됩니다.
과학교육을 전공하고자 하는 학생은 자연현상에 대한 많은 호기심과 관심, 풍부한 창의력과 관찰력, 논리적인 사고력, 다른 사람의 견해를 받아들일 수 있는 포용성이 필요합니다. ","학생들에게 창의적인 사고 능력을 키워 줄 수 있고, 알고 있는 지식을 효과적으로 전달할 수 있는 교육학적 방법론에 대한 공부를 합니다. 현재 물리, 생명과학, 공통과학 교사 양성을 중심으로 하고 있습니다. 탁월한 전문성이 있는 중ㆍ고등학교 과학교사, 과학교육연구자 및 학교 밖 과학교육전문가를 양성하기 위하여 과학 내용지식 뿐만 아니라 과학교과교육지식과 교수 실무능력을 함양합니다.","영어, 과학, 윤리","과학교과 : 물리학Ⅰ, 생명과학Ⅰ, 화학Ⅰ, 지구과학Ⅰ<br>사회교과 : 생활과 윤리, 윤리와 사상<br>교양교과 : 철학, 심리학, 교육학","실용수학, 기하, 물리학Ⅱ, 생명과학Ⅱ, 화학Ⅱ, 지구과학Ⅱ, 융합과학, 생활과 과학"
46,관광경영학과,여행에 대해 흥미를 갖고 있어야 합니다. 지속 가능한 관광의 개념과 방법에 대한 고민이 필요하며 관광을 위한 외국어 사용 능력을 향상시켜야 합니다. 관광과 관련된 다양한 분석을 위한 통계 활용에 대한 관심이 필요합니다.,"관광산업을 ‘굴뚝 없는 산업’ 또는 ‘황금 알을 낳는 거위’라 표현하기도 하며, 이제 하나의 필수 생활 문화로 자리 잡고 있습니다. 주요 교육 내용으로는 호텔, 여행사, 리조트, 테마파크, 컨벤션, 카지노 등 관광산업을 구성하는 구체적인 업종별 경영 및 개발, 관리에 대한 이론 및 기술적 내용과 관광 정책, 관광 자원 및 상품 개발, 국제 관광 진흥, 관광 법규, 관광 경제학, 여가 부문 등이 있습니다. ","사회, 생활ㆍ교양","사회교과 : 한국지리, 세계지리, 사회ㆍ문화, 생활과 윤리<br>생활ㆍ교양교과 : 환경","실용 수학, 여행지리, 사회문제 탐구"
49,관현악과,"관현악을 배우고 연주하는 활동 자체를 즐길 수 있는 사람에게 어울리는 전공입니다. 누군가가 원해서가 아니라 자신이 진정으로 원하는 것이 음악이어야 합니다. 다양한 사람들과 잘 어울릴 수 있어야 하고, 자신의 주장을 잘 전달하고 상대방의 이야기를 잘 이해할 수 있어야 합니다.","관현악과는 크게 관악전공과 현악전공으로 나누어집니다. 관악전공은 플루트, 오보에, 클라이넷, 바순, 색소폰의  목관 파트와 호른, 트롬본, 튜바의 금관 파트 그리고 타악기 파트로 구성됩니다. 현악은 바이올린, 비올라, 첼로, 더블 베이스, 하프  전공으로 이루어집니다.
","음악, 윤리","예술교과 : 음악<br>사회교과 : 생활과 윤리, 윤리와 사상<br>교양교과 : 철학, 심리학, 교육학","음악 연주, 음악 감상과 비평"
10140,광고디자인학과,새로운 콘텐츠를 만들 수 있는 창의성을 갖추고 있어야 하고 미적인 감각이 좋은 사람에게 유리합니다. 마케팅과 제품 제조 등에 대한 지식이 요구되며 컴퓨터 멀티미디어 프로그램을 원활하게 다룰 수 있는 능력을 가지고 있어야 합니다.,광고 디자인 분야에서는 이론이나 지식뿐만 아니라 좋은 광고를 만들 수 있는 실무능력이 중요합니다. 전공 공부에 있어서도 이론 수업과 아울러 실습 수업이 중요한 학과입니다.,"미술, 윤리","예술교과 : 미술<br>사회교과 : 생활과 윤리, 윤리와 사상<br>교양교과 : 철학, 심리학, 교육학","미술 창작, 미술 감상과 비평"
54,광고홍보학과,"사회ㆍ문화와 관련된 현상 및 영화, 드라마, 광고,패션 등 다양한 콘텐츠에 관심이 많으며, 사람의 심리를 파악하고 분석하는 것을 좋아한다면 광고홍보학과에 매력을 느낄 것입니다. 또한, 최근 뉴미디어 등을 활용한 광고 및 홍보 콘텐츠가 급증하고 있으므로, 사람들의 눈과 마음을 사로잡을 만한 예술적인 감각을 지닌 사람, 설득력과 커뮤니케이션 능력이 좋은 사람들에게 유리한 학문입니다. ","광고홍보학과는 심리학, 경영학(마케팅) 등의 인접인문사회학과와 밀접한 관계를 맺고 있어, 해당 인접 학과를 간접적으로나마 공부할 수 있는 기회가 많습니다. 또, 위성, 인터넷 및 뉴미디어의 발달로 인해 광고홍보학도 그에 맞추어 다양한 커뮤니케이션 상황에서의 문제 해결 능력을 키울 수 있도록 하고 있습니다. ","국어, 사회, 생활ㆍ교양","국어교과 : 화법과 작문, 독서, 언어와 매체, 문학<br>사회교과 : 정치와 법, 사회ㆍ문화, 생활과 윤리<br>생활ㆍ교양교과 : 철학, 논리학, 심리학, 논술","실용 국어, 심화 국어, 고전 읽기, 여행지리, 사회문제 탐구"
55,광학공학과,"광학기술을 활용하여 카메라, 레이저 등 각종 장비와 제품을 만드는 일을 하므로 새로운 것에 호기심이 많고, 지식을 배우고 익히는 것을 좋아하는 사람에게 유리합니다. 직접 배운 것을 실생활에 응용하여 생각할 수 있는 응용력과 창의력이 있으면 좋습니다. 그리고 물리, 수학 등의 기초 과목을 잘하면 유리합니다.","최근 5G인터넷이 서비스되고 6G인터넷 기술개발과 사물 인터넷 등 네트워크 분야는 빠른 속도로 변화하고 있습니다. 또, 정밀한 가공 기술로 다양한 제품을 생산할 수 있는 레이저 기술, 대용량 데이터를 먼 곳까지 빠른 속도로 보낼 수 있는 광 케이블 기술, 우주 관측에 필요한 우주용 렌즈 등에도 응용되고 있습니다. 따라서 앞으로 다양한 전자 ㆍ 통신 분야에서 광학 공학을 공부한 전문가에 대한 수요가 높을 것으로 예상됩니다.","수학, 과학, 기술ㆍ가정","수학교과 : 수학ⅠㆍⅡ, 미적분, 확률과 통계<br>과학교과 : 물리학Ⅰ, 화학Ⅰ<br>기술ㆍ가정교과 : 기술ㆍ가정, 정보","기하, 물리학Ⅱ, 화학Ⅱ, 공학 일반"
10141,교양경상학부,"평소에 컴퓨터를 잘 다루고 각종 데이터에 대해 관심이 있으면 좋습니다. 경영통계, 회계, 재무, 금융 등의 분야에서 수학적 사고력이 요구되며 빅데이터에 대한 관심이 필요합니다.","국가경제의 높은 대외무역의존도와 날로 가속화되고 있는 개방화/세계화 추세에 적극적으로 대처할 수 있는 글로벌 무역전문가 양성을 학과의 주된 교육목표로 합니다. 특히 학생들이 올바른 윤리의식을 가지고 사회에 진출할 수 있도록 교육과정에서 윤리교육을 적극적으로 반영하며, 교수진 또한 윤리규정을 준수하고 책임의식을 고양하도록 하고 있습니다.","수학, 사회, 기술ㆍ가정, 생활ㆍ교양","수학교과 : 수학I, Ⅱ, 미적분, 확률과 통계<br>사회교과 : 경제, 생활과 윤리<br>기술ㆍ가정교과 : 정보<br>생활ㆍ교양교과 : 실용 경제","실용 수학, 기하, 경제 수학, 수학 과제 탐구, 사회문제 탐구, 창의 경영, 지식 재산 일반"
