majorSeq,major,interest,property,공통과목,일반선택과목,진로선택과목
346,언어치료학과,"언어, 글자, 문법 등 언어 자체에 대한 관심과 이해, 언어를 통한 인간 본성 및 철학적, 과학적, 사회적 현상의 기원과 과정, 언어치료 등 언어 및 언어로 인해 파생되는 다양한 현상에 대한 철학적인 고민이 필요합니다.  
(출처: 세종특별자치시교육청, 보인다 시리즈 5.-0 - 전공ㆍ적성 개발 길라잡이 ‘언어학과’)","언어발달장애, 조음장애, 음성장애, 말더듬, 청각장애, 실어증 등 다양한 장애영역에서 의사소통에 어려움을 겪는 아동과 성인의 특성을 이해하여 진단 및 치료 능력을 갖춘 언어재활 전문가를 양성하는 학과입니다. 
(출처: 세종특별자치시교육청, 보인다 시리즈 5.-0 - 전공ㆍ적성 개발 길라잡이)","국어, 사회, 기술ㆍ가정","국어교과 : 언어와 매체, 화법과 작문, 독서, 문학<br>사회교과 : 사회문화, 생활과 윤리, 윤리와 사상, 세계사, 경제<br>생활ㆍ교양교과 : 교육학, 심리학, 철학, 논리학, 논술, 정보","사회문제 탐구, 심화국어, 고전읽기, 고전과 윤리, 여행지리"
448,에너지자원공학과,"에너지의 생산원리, 전송과정,, 에너지 분야에 대한 관심이 있고, 특히 원자력이나 신재생 에너지에 흥미가 있는 학생들에게 유리합니다. 새로운 것을 발견하고 응용하는 것을 좋아하면 도움이 됩니다. 에너지공학을 공부하기 위해 화학, 수학, 물리 등의 과목을 잘할 수 있으면 유리합니다. 그리고 실험이 많은 분야이므로 차분하고 집중력이 높으면 도움이 됩니다.","최근 세계적으로 기후 변화와 지구 온난화로 인해 폭염이나 홍수 발생으로 많은 사람들이 어려움을 겪고 있습니다. 지구 온난화와 관련이 있는 온실가스 감축, 탄소배출량 감소정책을 통한 탄소배출권 확보 등 기존의 석유 및 화학 연료를 에너지원으로 하는 것이 아닌 태양열, 조력, 풍력 등 신재생 에너지 기술 개발이 국가 발전 및 성장에 매우 중요한 역할을 함에 따라 에너지공학과의 중요성도 계속 커지고 있습니다.","수학, 과학, 기술ㆍ가정","수학교과 : 수학ⅠㆍⅡ, 미적분, 확률과 통계<br>과학교과 : 물리학Ⅰ, 화학Ⅰ<br>기술ㆍ가정교과 : 기술ㆍ가정, 정보","기하, 물리학Ⅱ, 화학Ⅱ, 공학 일반"
350,역사교육과,"중ㆍ고등학교 때에 국사 및 세계사 등 역사 과목을 즐겁게 공부했으면 이 학과에 입학할 기본적인 조건을 갖춘 것이나 마찬가지입니다. 또, 인간에 대한 깊은 호기심을 가지며, 인류와 사회의 발달 과정에 대해 흥미를 느낀다면 4년 내내 흥미를 가지고 공부할 수 있을 것입니다. 사료와 사료 사이의 여러 상황을 생각하는 상상력이 풍부하면 좋으며, 더불어 논리력을 갖추면 유리합니다. ","역사교육과는 다양한 자료ㆍ유물을 바탕으로 인간과 사회문제를 시간적 변화 속에서 분석한다는 점에서 모든 인문과학의 기초나 다름없습니다. '한국사'가 수능시험에서 필수 과목으로 채택하면서, 대학에 설치된 역사학ㆍ고고학에도 국민적 관심이 높아지고 있습니다. ","영어, 한문, 사회, 윤리","사회교과 : 세계사, 동아시아사, 생활과 윤리, 윤리와 사상<br>교양교과 : 철학, 심리학, 교육학",한문Ⅱ
352,연극영화학과,"연극ㆍ영화는 종합예술이므로 미술, 음악, 무용, 문학, 건축, 연극, 어학, 심리학, 사회학 전반에 걸친 지식과 관심이 있어야 합니다. 또, 재학 중에 실습을 통하여 작품 연구에 할애하는 시간이 많아 인내심이 필요하며, 자신의 개성을 제작 팀원들과 조화시킬 줄 알아야 합니다.",중ㆍ고등학교 학생들에게 직업의 선호도 조사를 하면 매년 어김없이 나오는 직업은 연예인입니다. 이렇듯 연예인과 밀접한 관련이 있는 이 학과는 경쟁률이 높으며 앞으로 이 학과의 인기는 의심의 여지가 없이계속될 전망입니다. 더불어 이 학과와 관련된 직업들은 연극배우와 영화배우를 같이 할 수 있는 것처럼 고정적이지 않고 동시에 여러 직업을 가질 수 있는 장점이 있습니다.,"음악, 윤리","예술교과 : 음악<br>사회교과 : 생활과 윤리, 윤리와 사상<br>교양교과 : 철학, 심리학, 교육학","음악 연주, 음악 감상과 비평"
365,영어교육과,"영어와 관련된 어학실력이 마련되어 있는 게 본인에게 가장 유리합니다. 그리고 영어교육과에서는 어학, 문학, 영어교수법도 배우기 때문에 어학뿐만 아니라 문학, 교수법에도 적성과 흥미가 있는 학생이면 좋습니다. ","아무래도 다른 학과 보다는 영어로 강의하는 과목이 많습니다. 수업 시간에는 항상 책을 많이 읽을 것을 요구합니다. 어학 수업이든 문학 수업이든 매시간 마다 일정 분량의 책을 읽을 것을 선생님들이 요구하는데, 앉은 자리에서 20페이지 이상의 책을 읽을 수 있는 인내심이 필요합니다. 그러자면 치밀하고 꼼꼼한 성격을 가져야 하는데, 신입생들의 경우 이 점을 좀 어려워합니다.","영어, 사회, 윤리","영어교과 : 영어 회화, 영어Ⅰ, 영어 독해와 작문, 영어Ⅱ<br>사회교과 : 생활과 윤리, 윤리와 사상<br>교양교과 : 철학, 심리학, 교육학","실용 영어, 영어권 문화, 진로 영어, 영미 문학 읽기"
366,영어영문학과,"중ㆍ고등학교 때 영어 수업 시간을 즐긴 경험이 있고, 문학 작품을 비롯한 여러 영어 매체를 읽고 보는 것을 좋아한다면 영어영문학과에 진학할 최소한의 조건을 이미 갖춘 것이나 다름없습니다. 여기에 기본적으로 어학 실력이 뛰어나거나, 언어와 관련한 쓰기, 읽기, 듣기, 말하기 능력이 갖추어져 있다면 영어영문학과 수업을 공부하는 것이 더욱 유리할 것입니다. ","과거와 달리 영어영문학 전공자들은 영미 문학 작품을 읽고 감상하는 데 그치지 않고, 해당 주제를 독창적으로 분석하고 이를 논리적으로 전달하는 의사표현 방법을 배웁니다. 이를 바탕으로 글로벌 시대에 걸맞는 인문학 인재로 성장하게 되며, 영어는 이 시대의 필수 역량인 만큼 인문, 사회, 경제 등 다양한분야에 진출합니다. ","영어, 사회, 예술, 국어","영어교과 : 영어 회화, 영어Ⅰ, 영어 독해와 작문, 영어Ⅱ<br>사회교과 : 사회문화, 생활과 윤리, 윤리와 사상, 세계사<br>교양ㆍ국어교과 : 철학, 심리학, 종교학, 제2외국어, 문학, 독서","실용 영어, 영어권 문화, 진로 영어, 영미 문학 읽기, 음악ㆍ미술감상 비평"
367,영어학과,타인과 소통하는 것을 좋아하고 국제사회의 흐름에 대해 관심이 있어야 하고 기본적으로 영어 능력을 갖추고 있으며 의사소통 및 문제해결 역량을 갖추고 있는 학생이라면 유리합니다. ,"세계화, 정보화 시대에서 국제교류와 관광산업이 활발해지면서 영어는 필수적으로 갖추어할 능력이라고 할 수 있습니다. 이러한 시대의 흐름에 맞추어 국제적 실무능력을 갖춘 ","영어, 사회, 예술, 국어","영어교과 : 영어 회화, 영어Ⅰ, 영어 독해와 작문, 영어Ⅱ<br>사회교과 : 사회문화, 생활과 윤리, 윤리와 사상, 세계사<br>교양ㆍ국어교과 : 철학, 심리학, 종교학, 제2외국어, 문학, 독서","실용 영어, 영어권 문화, 진로 영어, 영미 문학 읽기, 음악ㆍ미술감상 비평"
10045,예술치료학과,"음악이나 미술과 같은 예술 분야와 사회복지, 심리, 상담 등 다양한 분야에 관심이 있는 학생이면 좋습니다. 마음의 병을 가지고 있는 사람들을 대해야 하기 때문에 다른 사람의 마음을 잘 이해할 줄 알아야 하며, 심리학과 정신의학에 대한 기본 지식이 있어야 합니다.",현대 의학으로 치료할 수 없는 마음의 병에 시달리는 사람들과 재활 치료를 원하는 많은 사람들에게 쉽게 다가갈 수 있는 것은 예술 치료의 장점입니다. 예술치료의 효과가 알려지면서 예술치료사는 새로운 유망 직종으로 급부상하고 있습니다. ,"영어, 과학","영어교과 : 영어Ⅰ, 영어Ⅱ, 영어 독해와 작문<br>과학교과 : 생명과학Ⅰ<br>교양교과 : 심리학",생명과학Ⅱ
369,예술학과,"아름다음을 표현하고 만들어내는 창작 활동 자체에 흥미를 갖어야 합니다. 연극, 음반, 영상물 등 어떠한 매체이든 예술 자체를 즐길 수 있는 사람에게 적합합니다. 예술의 창작 활동은 혼자 하는 경우도 있지만 여러 사람들과 함께 하는 경우가 많습니다. 사람들과 잘 어울리고 자신의 주장을 설득력 있게 전달할 수 있어야 합니다.","예술학과로 개설된 대학도 있지만, 공연예술학부, 공연예술전공, 게임엔터테인먼트학과, 고영방송연예학과, 고영영상학부 등 다양한 이름으로 주요 대학에서 전공을 개설하고 있습니다. 예술분야의 영역 자체가 다양하고, 동양과 서양, 전통과 현대 등 다양한 분야로 전공이 세분화되는 특성이 있습니다. ","미술, 윤리","예술교과 : 미술<br>사회교과 : 생활과 윤리, 윤리와 사상<br>교양교과 : 철학, 심리학, 교육학","미술 창작, 미술 감상과 비평"
10047,외국어학과,외국인과 만나 소통하는 것에 흥미가 있고 세계 흐름에 관심이 많다면 좋습니다. 외국의 사회와 문화에 대한 폭넓은 지식을 갖추고 외국인과 의사소통하는데 어려움이 없을 정도의 외국어 능력이 있다면 공부하는데 도움이 될 것입니다.,세계화 시대에 맞춰 국제 시대를 주도할 인재를 양성하기 위하여 동ㆍ서양의 여러 언어와 문화 연구를 통해 외국의 문화를 이해하고 시대의 흐름에 맞춰 외국어 언어능력을 갖춘 글로벌 인재로 성장할 수 있습니다.,"영어, 사회, 교양","영어교과 : 영어 회화, 영어Ⅰ, 영어 독해와 작문, 영어Ⅱ","실용 영어, 영어권 문학, 진로 영어, 영미 문학 읽기, 사회문제 탐구, 고전과 윤리, 여행지리"
376,외식산업학과,"음식만들기나 맛집 찾기 등에 대해 흥미가 있으면 좋습니다. 생명과학, 화학, 사회문화, 경제 등 교과에 대한 관심 및 학업능력이 필요하며 요리에 기초적인 지식과 조리기술은 물론, 소비 심리와 환경, 푸드스타일과 식공간 연출 분야 등에 대한 확장된 관심과 지식, 고민이 필요합니다.","외식산업학과는 생활방식의 변화에 따라 괄목할만한 성장을 거듭하고 있는 외식문화를 선도하고 우리나라 외식 산업의 발전을 주도할 수 있는 인재를 양성하기 위해 탄생하였습니다. 외식 및 관련 산업인 호텔산업 등에서 중추적인 역할을 담당할 실무능력과 관리능력을 겸비한 인재 양성을 목표로 합니다. 현재 외식산업 규모 확대와 경영의 체계화 등으로 외식산업은 음식의 제조법과 서비스를 함께 추구하는 복합 산업으로서의 면모를 갖추게 되었습니다. 향후에는 외식서비스 산업도 식품제조업, 소매업, 서비스업의 세 가지 성격을 함께 지닌 산업으로 21세기 유망산업으로 부상할 것입니다. ","과학, 사회, 생활ㆍ교양, 영어","과학교과 : 생명과학I, 화학Ⅰ<br>사회교과 : 사회문화, 경제, 생활과 윤리, 정치와 법, 한국지리, 세계지리<br>생활ㆍ교양교과 : 기술가정, 보건학, 환경, 심리학, 정보, 진로와 직업","경제수학, 사회문제탐구, 창의경영, 실용경제, 생활과 창의성, 생명과학Ⅱ,  화학Ⅱ, 융합과학, 생활과 과학, 가정과학, 실용영어, 진로영어"
380,우주과학과,"
평소 별자리나 인공위성, 우주선을 좋아하는 학생이라면 관심을 가져볼만 합니다. 아직 밝혀진 부분이 매우 적은 우주를 연구하는 학문인 만큼, 끈기를 지니고 포기하지 않는 탐구 정신이 필요합니다. 우주과학의 기초가 되는 수학, 물리 과목에 적성을 지니고 있으면 도움이 됩니다. 
",인류는 언제나 우주에 대한 호기심을 지니고 있고 현대의 과학기술이 점점 발전하면서 우주연구에 필요한 첨단 과학기술도 함께 발전되고 있기 때문에 관련 지식이 요구됨에 따라 더욱 주목받고 있습니다. ,"수학, 과학, 기술가정","수학교과 : 수학Ⅰ,Ⅱ, 미적분, 확률과 통계<br>과학교과 : 물리학Ⅰ, 화학Ⅰ, 지구과학Ⅰ<br>기술ㆍ가정교과 : 기술가정, 정보","기하, 수학과제 탐구, 물리학Ⅱ, 화학Ⅱ, 지구과학Ⅱ, 생활과 과학, 융합과학, 공학일반"
