profession,summary,similarJob,salery,jobdicSeq,equalemployment,totalCount,aptd_type_code,prospect,job_ctg_code,job_code,job,possibility
무용 관련직,"- 백댄서(백업댄서)는 가수의 노래와 음악에 어울리는 춤을 개발하고 연습하며, 함께 공연에 참가하여 가수의 무대를 보조하는 일을 한다. 

- 가수의 노래와 음악에 어울리는 춤을 개발하고 가수에게 춤을 지도하기도 한다. 

- 관객에게 즐거움을 제공하기 위해 음악에 맞춰 춤을 춘다.  

- 안무가가 개발한 무용을 지도받고 연습한다.",,2천만원 ↑,304,매우좋음,454,104719,,103847,100012,백댄서(백업댄서),보통이상
일반운전 관련직,"- 버스운전기사는 시내버스, 시외버스, 고속버스 등 노선버스나 관광버스를 운전하거나 학교, 기업체 등의 비영업용 버스를 운전하여 승객을 운송하는 일을 담당한다. 
- 배차계획에 따라 버스차량을 배차 받고 점검표에 따라 연료, 타이어, 냉각수 및 차량의 각 부분을 점검하고 이상이 발견되면 정비 공장에 수리를 의뢰한다. 
- 버스 운행시간과 정해진 버스 노선, 또는 수송 운행표에 따라 목적지까지 버스를 운전하며 출입문을 여닫고 정차신호에 따라 정해진 정류장 또는 목적까지 승객이나 물건을 운송한다.  
- 운행이 종료되면 차량을 입고하고, 수입금을 납입하며 출발시간, 도착시간, 주행, 거리, 연료소모량, 고장, 장애 등에 대한 운행일지를 작성한다. 
- 차량의 청결을 유지하고, 교통법규를 준수한다.",,4천만원 ↑,372,보통미만,454,104721,,103873,100014,버스운전기사,보통미만
작가 관련직,"- 번역가는 외국어로 쓰인 문서, 보고서 또는 전문서적 등을 우리말로 옮기거나 또는 우리말을 외국어로 옮기는 작업을 전문적으로 한다. 
- 번역을 의뢰 받은 원문의 정확한 이해를 위해 사전 및 기타 참고자료를 수집하고, 원문을 연구하여 본래의 사상과 감정을 그대로 살려서 쓴다.
- 전문서적의 경우 해당분야 전문가나 번역의뢰업체를 통해 전문용어를 감수 받아 잘못 번역된 부분이 없는지 확인한다. 
- 번역된 내용에 대한 수정, 보완, 교정 작업을 거쳐 완성본을 만든다. 
- 정해진 원고 외에도 몇 가지 주석을 달아주기도 한다. 
- 문학번역은 출판번역이라고도 불리며 외국어로 된 소설, 시, 희곡, 수필뿐 아니라 인문사회, 자연과학 분야의 문헌과 같이 대중의 관심을 끄는 작품들을 번역한다.
- 영상번역은 영화나 방송 프로그램, 다큐멘터리, 만화, 뉴스 등 모든 장르의 영상예술에 필요한 문장 가운데 외국어로 된 영화의 대사를 해당 언어로 바꾸어 다시 녹음하거나(더빙) 혹은 자막용으로 번역한다.
- 전문서류번역은 정치, 경제, 사회, 문화, 기술 등 다양한 분야의 논문, 학술서적, 그리고 비즈니스서류, 기획, 수출입 관련 무역서신, 제품매뉴얼 등 각종 계약서 및 서류 등을 번역한다.",번역사,3천만원 ↑,267,매우좋음,454,"104745,104745",,103839,100010,번역가,보통미만
사무 관련직,"- 법률사무원은 주로 변호사나 법무사, 변리사 등 법률관련 전문가의 감독하에 관련 업무를 보조하고 처리하는 일을 담당한다. 
- 법원이나 검찰에서 서류 접수 및 분류 등 사법 관련 행정업무가 원활하게 이루어지도록 돕는다.
- 각종 문서의 접수와 관리, 간단한 서면 작성 업무 등의 역할을 한다.",,3천만원 ↑,252,매우좋음,454,104750,,103801,100009,법률사무원,보통이상
법률 및 사회활동 관련직,"- 등기, 소송, 경매, 가족관계등록, 공탁, 개인회생 및 파산 등에 있어 의뢰인을 대신하여 서류를 작성하고 법원이나 검찰청에 제출하는 업무를 수행하며 등기 및 공탁사건의 신청대리에 관한 모든 업무를 수행한다.
- 개인, 개인사업자, 법인 등의 법적 분쟁에 대해 자문하고 상담하는 역할을 한다.
- 법원과 경찰청에 제출하는 서류의 작성, 등기 등의 등록신청에 필요한 서류의 작성, 등기·공탁사건의 신청 대리, 민사집행법에 의한 경매사건과 국세징수법, 그 밖의 법령에 의한 공매사건에서의 재산 취득에 관한 상담, 매수신청 또는 입찰신청의 대리, 작성한 서류의 제출 대행 등을 맡는다.",,4천만원 ↑,373,매우좋음,454,"104759,104759,104759",,103800,100013,법무사,매우좋음
IT관련전문직,"- 베타테스터는 컴퓨터 업체에서 소프트웨어나 하드웨어 제품을 판매하기 전에 제품의 결함 여부를 검사하는 사람으로, 프로그램의 오류를 파악하고 해결방안을 제시하여 상품의 판매력을 높인다.
- 소프트웨어나 하드웨어 등 제품의 문제점 및 보완점을 발견해 조치를 취한다. 
- 소프트웨어 프로그램의 장단점도 파악하여 홍보하는 역할도 한다.
- 게임베타테스터의 경우, CBT(Close Bata Test)와 OBT(Open Bata Test)로 나누어지는데, CBT는 일부 사용자의 신청이나 선발을 통해 테스터자격을 부여받아 게임을 출시하기 전에 전체적으로 시스템의 문제점이나 버그(오작동) 등을 파악하는 것이며, OBT는 게임을 출시하기 전에 전체적으로 시스템의 문제점이나 버그(오작동) 등을 파악하는 것이다.","베타테스트 엔지니어, 게임베타테스터,베타테스트 엔지니어,게임베타테스터",4천만원 ↑,1432,보통미만,454,104740,,104069,100013,베타테스터,매우좋음
법률 및 사회활동 관련직,"- 변리사는 개인이나 기업의 의뢰에 의하여 새로운 기술에 대한 발명이나 디자인, 상표 등의 특허권 취득을 위한 법률적, 기술적인 상담과 지원을 한다. 
- 특허권을 획득하고자 하는 대상의 설계도, 명세서, 제품 등을 조사 및 검토하고, 유사 또는 관련 제품의 특허권을 조사한다. 
- 기존 다른 산업재산권의 침해여부, 발명이나 고안이 동일한지 혹은 유사한지의 여부, 그리고 상표의 유사성에 대한 감정을 한다.
- 특허등록을 위한 문서작성(또는 소송을 위한 문서작성)을 하고 초안이 완성되면 고객과 초안을 검토한 후 문제가 없으면 특허권을 출원·청구한다.
- 소유권 권리분쟁 등 특허법원 소송이 있는 경우 준비 절차나 변론 기일에 참석해 변론을 하거나, 특허 침해 소송 중 재판부가 주재하는 기술 설명회에 참석해 사건 내용을 설명하기도 한다.
- 공업소유권의 권리분쟁에 관한 이의신청, 심판 및 항고심판의 청구에 관한 제반 업무를 대리한다.",,4천만원 ↑,374,매우좋음,454,"104759,104759,104759",,103799,100013,변리사,매우좋음
법률 및 사회활동 관련직,"- 변호사는 개인 간의 다툼에 관련된 민사사건과 범죄사건에 관련된 형사사건이 발생할 경우 개인이나 단체를 대신해 소송을 제기하거나 재판에서 그들을 변호해 주는 활동을 한다.
 - 민사소송사건, 조정사건, 비송사건, 행정소송사건 등에 있어서는 사건 당사자나 관공서의 의뢰·위촉을 받아 소송 등의 제기와 취하, 조정, 이의, 화해 등의 절차를 행하는 업무를 수행한다. 
- 형사소송사건에서는 피고인 또는 피의자 등과의 접견, 관계서류 또는 증거물의 열람 및 등사, 구속취소 또는 보석과 증거보존의 청구, 구속영장실질심사 및 구속적부심의 청구, 법원이 행하는 증인심문과 감정에 참여하는 등의 업무를 수행한다. 
- 전문적인 법률지식을 통해 의뢰인에게 유리한 변론을 하고, 판결·결정에 불복하는 경우에는 심급에 따라 항소·상고 등의 절차를 밟는다. 
- 증서에 관한 인증업무를 담당하는 공증업무를 수행하기도 한다.",,4천만원 ↑,375,매우좋음,454,"104759,104759,104759",,103798,100013,변호사,매우좋음
보건의료 관련 서비스직,"- 병원코디네이터는 양질의 의료서비스를 제공하기 위해 환자 상담과 지속관리, 직원 친절 서비스 교육, 병원 이미지 개선을 위한 일을 한다.

- 전화, 메일 등으로 상담을 하고, 환자의 예약관리와 진료를 마친 환자에게 치료에 대한 설명과 주의점, 처방전 등을 안내한다. 

- 환자의 고민이나 불만사항을 병원에 전달하고, 환자의 만족도를 높이기 위해 차별화된 서비스를 기획한다.

- 직원들의 서비스 교육을 담당하며 병원의 이미지 홍보를 위한 마케팅 전략을 수립하고 실행한다.

- 고객 서비스 개선, 환자상담과 사후관리, 진료계획 수립, 병원 서비스 품질관리를 수행한다. 

- 직원교육기획 및 지식경영관리, 내부고객 만족을 통한 고객 만족도를 제고한다. 

- 원내 근무 분위기 조성, 접수ㆍ수납 및 병원의 약속관리, 밝은 병원 분위기를 연출하기 위한 실내ㆍ외 환경조성 등을 담당한다.",,2천만원 ↑,1257,보통미만,454,104749,,103807,100013,병원코디네이터,보통미만
사무 관련직,"- 보건의료정보관리사는 의무에 관한 기록을 주된 업무로 한다.
- 환자의 진료 기록 내용을 검토하고 분류하여, 이를 일정한 순서에 따라 체계적으로 보관한다. 
 - 의료기관에서 질병 및 수술분류·진료기록의 분석·진료통계·암등록·전사등 각종 의무에 관한 기록 및 정보를 유지·관리하고 이를 확인하는 업무를 수행한다.
- 의료진이 차트를 필요로 할 때 신속하고 정확하게 대출 및 관리하기 위해 외래 및 입원 환자로 구분하여 의사가 의무 기록에 기록한 진단명, 처치, 수술, 검사 등에 대한 질병 및 수술 등으로 분류하여 보관한다. 
- 정리 및 보관된 의무 기록의 내용을 검토하고 분석하여 필요한 정보를 요약하고 통계 자료를 작성하며, 미비한 의무 기록의 경우 검출 목록을 첨부하여 담당자에게 알린다. 
- 질병색인, 수술색인 등의 색인업무와 수술실에서 녹음된 테이프를 들으며, 녹음 내용을 기록하는 업무도 수행한다.",,3천만원 ↑,256,매우좋음,454,104750,,103825,100009,보건의료정보관리사,좋음
기타 특수 예술직,"- 보석감정사는 보석의 진품여부와 가치를 평가하여 품질에 따라 등급을 매기고 감정서를 발행한다. 
- 보석의 종류에 따라 가치에 영향을 미치는 특성과 결함을 찾아내기 위해 보석의 내·외부 구조를 검사한다. 
- 광학기계나 화학용액을 이용하여 보석을 식별하여 물리적, 화학적 특성을 확인하고 색상과 연마 가공도에 따라 등급을 매기고 보석감정서를 발부한다. 
- 가격결정, 시장변동, 경제적 변동에 따른 보석의 도·소매가격을 평가한다.
- 구체적으로 유색보석 감별, 다이아몬드 검정, 귀금속 검사를 한다.",,3천만원 ↑,76,매우좋음,454,"104735,104735",,103747,100013,보석감정사,보통미만
디자인 관련직,"- 보석디자이너는 다이아몬드, 사파이어, 금 등의 보석을 이용하여 아름다운 장신구나 악세사리를 디자인한다. 
- 새로운 제품에 대한 아이디어를 얻기 위한 국내외 시장 조사를 실시한다. 
- 보석의 원석을 감정하고 보석 악세서리의 전체 모형과 보석 세공에 대한 정밀 묘사 즉, 렌더링을 한다. 
- 보석 세공기술자들과 만나 새로운 제품을 만드는데 있어 조심할 점들을 논의한다.",,2천만원 ↑,305,매우좋음,454,"104753,104753",,103851,100011,보석디자이너,좋음
교육관련 서비스직,"- 보육교사는 어린이집, 놀이방 등 보육 시설이나 아동 복지 시설에서 위탁 아동을 교육하고 보호한다. 

- 심신상태 및 발육단계 또는 건강상태, 연령 등에 따라 위탁된 영유아를 구분하여 그에 적절한 각각의 보육계획을 세운다.

- 각 유아의 개별적 요구와 관심을 상세히 관찰한 후 이에 맞는 보육방법을 결정하고 교수방법 및 교재를 선택하여 그에 따라 지도한 후 그 결과를 보육일지에 기록한다.

- 그림책, 장난감, 악기 등을 이용하여 유아의 정서 및 지능발달에 도움을 주는 활동을 한다. 

- 잠자는 시간과 휴식 시간에 유아들을 보살피고 균형 있는 영양공급과 바른 식습관을 지도한다.

- 관찰 내용과 지도경과를 보육일지에 기록하고 아동들의 보육상태를 평가하여 부모들과 아동들의 성장에 관련된 문제를 상담하기도 한다.",,2천만원 ↑,376,보통미만,454,"104746,104746",,103832,100013,보육교사,보통미만
,"- 보일러공은 산업용 및 건물 난방용 보일러를 설치하고, 고장 난 보일러를 수리하는 일을 담당한다.  
- 건축물의 시공도면에 따라 보일러를 설치할 위치를 확인하고, 천정, 바닥, 벽면 등에 구멍을 뚫어 보일러 장치를 설치한다.
- 보일러 본체와 부속설비 게이지의 온도, 압력, 수위 등의 정상여부를 원격으로 확인한다. 
- 보일러 시설을 순찰, 감시하며 문제점을 파악하고, 비정상시 자동 및 수동으로 온도, 압력 등을 조정한다. 
- 정기적으로 보일러 및 보조설비의 이상 유무 등을 점검하고 점검일지에 기록한다. 정기적으로 보일러 및 보일러보조설비를 청소한다.","보일러설치원,보일러수리원",3천만원 ↑,978,보통미만,454,,,103990,100004,보일러공,보통미만
금융 및 경영 관련직,"- 보험계리인은 보험, 연금, 퇴직연금 등에 대한 보험료 및 보상지급금을 계산하고 보험 상품을 개발하며 보험 회사의 전반적인 위험을 평가하고 진단한다. 
- 시대 변화에 따라 보험 상품으로 어떤 것이 필요하고, 보험료가 어떤 수준에서 책정되어야 하는지를 파악하며 금리 변동률, 영업비용과 회사이익 등을 고려하여 보험 상품을 개발한다.  
- 통계기법을 활용해서 위험률을 고려하여 보험료를 계산하고 보험률의 산정과 조정 및 검증 업무를 수행한다. 
- 보험 및  연금계획을 설계하거나 검토하고 시장상황을 고려한 합리적인 요율산정, 보험금 평가 및 산정 등의 업무를 수행한다.
- 사망률, 사고, 질병, 장애 및 퇴직률을 판단하고 각종 통계를 작성, 분석하며 보험 회사의 손익을 계산하여 발생 원인을 규명한다.",,4천만원 ↑,217,매우좋음,454,104741,,103767,100007,보험계리인,매우좋음
영업관련 서비스직,"- 부동산중개인은 아파트, 건물, 토지 등에 대하여 팔고자하는 사람과 사고자하는 사람간의 매매, 교환, 임대차, 기타 권리의 득실변경에 대한 행위를 알선, 중개한다.
- 부동산을 팔고자 하는 자(매도자)에게 중개를 의뢰 받으면 해당 부동산의 지번, 대지, 건평, 방수, 매도희망액 등을 파악하여 정리한다.  - 고객에게 알맞은 부동산을 선정하여 고객과 함께 해당 부동산을 답사하여 팔고자 하는 자와 사려고 하는 자(매수자)간의 매매 희망가격을 조정하고 계약이 성립되도록 주선한다. 
- 계약이 성립되면 매매계약서에 매매대상물의 양도일시, 매매조건과 단서조항을 기재하고, 계약일시와 매도자, 매수자 및 중개인의 인적사항을 서명, 날인한다.
- 부동산 이용과 개발에 대한 상담, 분양대행, 경매 대상 부동산에 대한 권리분석 등 컨설팅 업부를 담당하기도 한다.",공인중개사,3천만원 ↑,219,매우좋음,454,104751,,103893,100007,부동산중개인,매우좋음
디자인 관련직,"- 북디자이너는 출판물의 겉표지를 디자인하거나 출판물의 내용 즉, 본문의 활자, 구성 및 그림 등을 편집하고 디자인하는 업무를 담당한다. 
- 북 디자인 흐름, 교구조사 등 시장조사를 통하여 디자인의 방향을 설정하고 소비자의 욕구에 맞는 디자인을 기획한다. 
- 삽화, 글의 배열, 글꼴의 크기, 색, 음영 등을 선정하고 디자인에 소요되는 비용 등을 추산하여 고객에게 제안한다. 
- 기본아이디어를 토대로 책의 표지, 내지를 디자인하고 글의 위치 등을 배열한다. 
- 여러 개의 디자인 안을 수립하여 내부 전문가 및 고객과 협의하여 최종 디자인을 선정한다. 
- 디자이너의 의도에 따라 색채, 배열 등이 나올 수 있도록 인쇄결과물을 모니터링한다.","출판편집자, 편집디자이너, 출판 편집기자,편집디자이너,출판편집자,출판 편집기자",3천만원 ↑,927,매우좋음,454,"104753,104753",,103855,100011,북디자이너,매우좋음
이미용 관련직,"- 분장사는 영화, 연극 또는 TV 드라마의 작품 내용과 인물의 성격에 어울리도록 배우를 분장하는 일을 담당한다. 
- 극의 분위기와 시대적 배경에 맞는 사진, 문헌 등을 검토하고, 방송 연출가, 배우와의 협의를 통해 분장 방법을 결정한다. 
- 가발, 수염, 연지, 분, 물감 등의 분장용 재료와 화장품을 이용하여 출연자를 작품 속 인물의 성격에 어울리게 분장한다. 
- 각종 마스크, 눈알, 이빨, 송곳니, 틀니, 입체 상처, 내장, 표피 등을 이용하여 젊은이를 노인으로 만들거나 흉측한 괴물로 만드는 특수 분장을 담당하기도 한다.",특수분장사,2천만원 ↑,306,보통미만,454,104725,,103927,100014,분장사,매우좋음
예술기획 관련직,"- 비디오저널리스트는 비디오카메라를 가지고 방송물 등을 직접 기획, 취재, 촬영, 편집하는 일을 담당한다. 
- 주제를 정하고 전체적인 방향에 대해 기획한다.
- 화면에 담을 사람을 섭외하고 촬영한다.
- 주제와 관련된 인터뷰를 하고 편집과 녹음을 한다.",,3천만원 ↑,309,보통미만,454,"104755,104755",,103859,100011,비디오저널리스트(VJ),보통이상
공학 기술직,"- 비파괴검사원은 방사선이나 초음파 등을 이용하여 재료, 구조물, 산업설비 등의 성질과 결함여부를 검사하고 평가하는 일을 담당한다. 
- 검사제품의 특성을 고려하여 검사방법을 결정하고 검사일정 등 검사 계획을 수립하고, 수립된 계획에 따라 관련 장비를 준비하고 설치한다. 
- 초음파, 방사선촬영, 액체침투, 자기미립자, 와전류 및 기타 비파괴검사방법을 사용하여 비연속성(결함)을 탐지하는 검사를 한다.
- 검사장비에 나타난 초음파의 음향임피던스, 와전류의 변화, 자분의 집속, 결함 등을 읽고 분석한다.
- 소재의 특성 및 구조물의 안전성 및 신뢰성 등을 평가한다. 
- 적용 가능한 명세사항이나 기준 및 평가 결과에 따라 검사준거를 적용하고 검사결과를 정리하여 보고한다.",비파괴검사기술자,3천만원 ↑,81,보통미만,454,"104728,104728",,104102,100003,비파괴검사원,매우좋음
일반 서비스직,"- 비행기승무원은 탑승객이 목적지까지 안전하고 쾌적하게 여행할 수 있도록 편의와 안전을 도모하기 위해 기내에서 각종 서비스를 제공한다.
- 탑승 전에 업무 분담, 용모 및 필수 휴대품 점검, 유의사항 및 신규 업무지식 등에 관한 지시사항을 전달받아 기내에 탑승하여 기장의 주관 하에 목적지, 비행시간, 항로 및 기상조건, 기타 유의사항 등에 대해 듣는다.
- 비상장비 및 기내시설의 이상 유무, 기내용품의 수량 및 탑재 여부, 의료장비, 기내의 청결상태 등을 포함한 객실 서비스에 관한 제반사항을 확인하고 준비한다.
- 승객이 제시하는 탑승권을 확인하여 좌석을 안내하며, 탑승이 완료되면 승객의 안전벨트 착용 여부, 이동물품의 고정 여부 등을 확인한다. 
- 비행기가 이륙하면 승객에게 식사 및 음료, 헤드폰 등을 제공하며 기내면세품을 판매하기도 한다.","항공기객실승무원,스튜어드,스튜어디스",4천만원 ↑,418,보통이상,454,104752,,103936,100014,비행기승무원,보통이상
고급 운전 관련직,"- 비행기조종사는 승객이나 화물을 운반하기 위해 여객기, 전투기, 경비행기, 헬리콥터 등을 조종한다.
- 비행스케줄에 따라 항로, 목적지, 연료량. 기상 조건 등을 숙지하고 항공기 상태, 조종실 시스템 등을 점검한다.
- 비행하는 동안 비행기의 장으로 항공승무원의 활동을 지휘하며 운항일지를 기록하고 비행 중 발생한 각종 설비상의 문제나 이상현상을 보고한다. 
- 탐색, 구조, 항공측량작업을 하며 소독약의 분무, 농약살포와 같은 일을 하기도 한다.
- 비행기 성능을 평가하기 위해 새로운 비행기를 테스트한다.","항공기조종사,검열조종사,기장,부조종사,시험조종사",4천만원 ↑,150,매우좋음,454,104727,,103868,100003,비행기조종사,매우좋음
사무 관련직,"- 사무보조원은 기업체나 공공기관 사무직원의 업무를 보조하여 각종 문서 수발, 정리, 전표정리, 자료복사 등의 일을 담당한다. 
- 서류를 정리하고 문서를 수발하며, 근태 및 작업일지 등의 자료를 집계한다. 
- 기록물, 문서 및 기타 소장 자료를 검토, 분류, 정리하는 업무를 수행하며 필요한 경우 자료를 복사하기도 한다. 
- 각종 자료를 컴퓨터에 입력하고, 자료의 오류를 심사하고 수정한다.",,2천만원 ↓,253,매우좋음,454,104750,,103741,100009,사무보조원,보통미만
사무 관련직,"- 사서는 각 기관의 도서관과 자료실에서 도서 및 자료를 배치보관하며 이용자가 자료를 편리하게 열람ㆍ대출할 수 있도록 지원한다.
- 이용자가 열람ㆍ대출하고자 하는 자료를 요청할 경우 검색을 통하여 자료를 신속하게 찾을 수 있도록 도와주고 대출을 희망하면 절차에 따라 대출을 해 준다.
- 이용자가 자료를 반납하고자 할 때에 자료와 대출자를 확인하고 파손 여부를 점검한 뒤 서가에 재배치한다. 
- 자료의 내용, 주제에 따라 도서자료를 분류하고, 규정된 분류체계에 따라 분류연호와 표제를 결정하고 목록카드를 작성한다. 
- 최근 도서관은 서적, 신문, 잡지 등의 인쇄자료 외에도 레코드, CD, 마이크로필름이나 슬라이드 등도 소장하고 있으며 인터넷을 설치하여 이용자에게 쉽게 정보를 검색 가능하도록 하고 있다.",,3천만원 ↑,268,매우좋음,454,104750,,103842,100009,사서,보통미만
사무 관련직,"- 사이버교육운영자는 컴퓨터를 이용하여 시간과 공간에 구애받지 않고 교사와 학생, 학생과 학생이 쌍방향으로 의사소통할 수 있는 첨단의 교육환경을 설계, 기획하는 업무를 담당한다. 
- 인터넷을 비롯한 온라인상에서 다양한 교육과정 및 교육 프로그램들을 기획하고 운영하며, 그에 대한 평가를 한다. 
- 교육관련 인터넷 사이트를 구축하고 운영하며, 교사와 학생, 학생과 학생간의 의사소통이 원활히 이루어질 수 있도록 정기적으로 관리한다.  
- 교육 내용을 그림이나 동영상 등 학습자가 잘 받아들일 수 있는 형태로 가공하고, 이에 포함된 콘텐츠를 개발하는 업무를 수행한다.","사이처,이러닝(e-learning)교수설계자,이러닝지도자",3천만원 ↑,462,보통미만,454,104750,,104069,100013,사이버교육운영자,매우좋음
영상 관련직,"- 사진기자는 신문이나 잡지 등에 게재되는 뉴스ㆍ스포츠ㆍ연예 등 관련 분야의 현장 보도사진을 찍는다. 
- 독자의 관심과 흥미를 불러일으킬 수 있는 사건·사고현장 및 장소를 찾아 사건·사고의 전개과정 이나 정보의 중요성에 따라 주요 장면을 사진 촬영한다. 
- 정치, 경제, 사회, 문화, 스포츠, 연예 등 어느 한 분야의 사진촬영만을 전문으로 하기도 한다. 
- 촬영한 사진을 현상하고 편집하여 기사나 정보의 순서에 맞게 편집부에 제공한다.",촬영기자,3천만원 ↑,976,보통이상,454,104754,,103848,100010,사진기자,보통미만
영상 관련직,"- 사진사는 각종 카메라와 보조 장비를 이용하여 인물, 사물 및 자연풍경 등을 촬영한 다음, 필름을 현상하고 사진을 인화, 수정, 완성한다. 
- 사진사는 사진을 촬영할 수 있는 모델이나 장소를 섭외하기도 하고, 사람들의 요청에 따라 증명사진을 찍기도 한다.  
- 현미경 사진, 천체 사진, 의학 사진 등 특수한 사진을 찍는 일을 수행하기도 한다. 
- 각종 수동, 자동기계를 조작하여 촬영한 흑백, 칼라 필름을 현상하고 밀착 인화기를 사용하여 사진을 인화한다.","특수사진사,사진현상원,사진처리원",3천만원 ↑,975,보통이상,454,104754,,103848,100012,사진사,보통미만
,"- 사진인화 및 현상관련조작원은 일반인들이 맡긴 사진필름이나 신문, 잡지 광고용 사진필름을 현상하고 인화하기 위해 사용되는 기계장비를 조작한다. 

- 화학약품을 희석하여 정착액과 현상액을 준비한다. 

- 필름의 보관상태를 점검하고 현상액의 온도를 조절하여. 필름을 현상액에 넣고 일정시간이 경과되면 필름을 세척하여 정착액에 담근다. 

- 일정시간이 경과되면 필름을 세척하여 건조하고, 현상할 사진의 크기에 따라 인화지를 선택한다.

- 밀착인화기 위에 필름과 인화지를 끼워 넣는다. 인화기의 광원스위치를 넣고 일정시간동안 노출시킨다. 

- 노광된 인화지를 정착액에 담궈 상을 정착시킨다.  

- 현상된 필름의 결함을 찾아내고 수정할 부분을 교정한다.","사진영상·인화원,슬라이드 제작원,사진처리원",3천만원 ↑,311,매우좋음,454,,,104110,100004,사진인화 및 현상관련조작원,보통미만
영상 관련직,"- 사진작가는 촬영대상을 선정하여 작품사진을 찍거나 사건현장에서 보도사진을 찍는다. 
- 바닷가, 산, 도시, 놀이터 등의 현장을 답사하여 작품의 소재를 구상하고 사진을 촬영할 수 있는 모델이나 장소를 선정한다. 
- 촬영대상을 정하고 촬영하기 전 대상물의 특징, 거리, 구도를 확인 한 후에 그에 따라 카메라의 각도, 조명, 초점, 노출정도를 결정하여 촬영한다. 
- 촬영된 필름을 현상인화하고, 촬영방법과 현상기술을 연구하며 사진작품을 전시한다.
- 촬영의 대상과 목적에 따라 인물을 위주로 찍는 인상사진가, 상업목적의 사진을 다루는 광고사진가, 예술사진을 찍는 순수사진가, 신문이나 잡지에 게재하기 위한 사진을 찍는 보도사진가, 자연환경을 대상으로 촬영하는 생태사진가 등이 있다.","인상사진작가,광고사진작가,순수사진작가,보도사진작가,생태사진작가",3천만원 ↑,310,보통이상,454,104754,,103848,100011,사진작가,보통미만
사회서비스직,"- 사회단체활동가는 정치, 복지, 주택, 고용, 여성, 청소년, 건강 등과 관련된 사회문제들을 연구하고 평가하여 사회문제해결을 위한 방법 및 정책을 제안하고, 이를 관철시키기 위한 사회운동을 전개한다. 

- 기관, 단체 또는 개인에게 필요한 사회서비스 프로그램을 개발하고 업무수행을 지원한다.  

- 사회문제 해결을 위한 정책을 제도화하기 위해 자금을 모으기도 하며, 기관이나 단체 또는 개인들을 대상으로 자문을 구하기도 한다. 

- 보다 많은 사람들이 사회문제에 관심을 갖고 이에 동참할 수 있도록 다양한 홍보활동을 펼친다.","시민운동가,인권운동가,환경운동가,사회운동가",3천만원 ↑,934,매우좋음,454,104736,,103830,100013,사회단체활동가,매우좋음
사회서비스직,"- 사회복지사는 청소년, 노인, 여성, 가족, 장애인 등 다양한 사회적, 개인적 욕구를 가진 사람들의 문제에 대한 사정과 평가를 통해 문제 해결을 돕고 지원한다.
- 사회적, 개인적 문제로 어려움에 처한 의뢰인을 만나 그들이 처한 상황과 문제를 파악하고, 문제를 처리, 해결하는 데 필요한 방안을 찾기 위해 관련 자료를 수집, 분석하여 대안을 제시한다. 
- 재정적 보조, 법률적 조언 등 의뢰인이 필요로 하는 각종 사회복지프로그램을 기획, 시행, 평가하며, 공공복지 서비스의 전달을 위한 대상자 선정 작업, 복지조치, 급여, 생활지도 등을 한다. 
- 사회복지정책 형성과정에 참여하여 정책분석과 평가를 하며 정책대안을 제시하기도 한다.",사회사업가,2천만원 ↑,379,매우좋음,454,104736,,103828,100013,사회복지사,매우좋음
인문 및 사회과학 관련직,"- 사회학연구원은 인간 집단의 행동, 발달, 구조 및 사회 집단생활에서 발생하는 사회조직 및 사회적 상호작용 등을 연구하고 사회적 문제들에 대한 해결 방법 및 정책적 대안 등을 탐색한다. 
- 사회변동, 가족과 결혼, 사회문제, 소집단, 일탈행위, 집단행동과 사회운동, 인구문제, 지역사회, 사회통제, 사회사상, 사회정책, 산업사회학 등과 같은 사회적 현상에 포함된 과학적 자료를 수집분석한다. 
- 분석 결과를 토대로 여러 사회 제반 문제에 대한 정책적 대안을 모색하고 제시한다. 
- 서로 다른 사회의 문화적 특성을 가려내고 그 상호작용의 과정을 분석한다.",사회학자,4천만원 ↑,933,매우좋음,454,"104742,104742",,103789,100001,사회학연구원,매우좋음
공학 전문직,"- 산업공학기술자는 기업경영에 대하여 사회과학의 전문지식과 함께 자연과학과 원리를 응용하여 경영의 여러요소를 과학적으로 분석하고 조직적으로 조정한다.
- 플랜트 레이아웃 및 시설을 계획하고 설계하며 새로운 기계 및 설비를 연구하고 적용한다.
- 생산을 위한 최적의 수준을 결정하고 기계, 원자재 및 자원의 최적 활용을 위한 프로그램을 실행한다.
- 경영 기획, 기술 전략, 경영 정보 시스템 등과 같은 분야에서 회사에 영향을 끼치는 다양한 요인들을 분석하고 사업전략과 경영관리 방법을 모색한다.","생산관리기술자,OR(operation research) 전문가,공장관리기술자,물류전문가,경영정보시스템전문가,인간공학자,품질관리기술자",2천만원 ↓,83,보통미만,454,"104729,104729",,104106,100003,산업공학기술자,매우좋음
