profession,summary,similarJob,salery,jobdicSeq,equalemployment,totalCount,aptd_type_code,prospect,job_ctg_code,job_code,job,possibility
보건의료 관련 서비스직,"- 간호사는 의료기관에서 환자의 건강을 회복, 유지하고 증진하도록 돕는 전문적인 의료활동을 수행한다. 

- 환자의 상태파악을 위해 혈압, 체온 등을 측정하고, 약품을 투여하거나 외상 치료를 하면서 환자의 상태와 반응을 관찰, 기록하여 결과를 의사에게 알린다.

- 수술 또는 분만시술 중인 의사 및 해당 환자를 돕고, 간호활동에 관한 기록을 수집하여 관련 문제에 대해 조언하기도 한다.

- 의사가 부재 할 경우 비상조치를 시행할 수 있으며, 의사의 진료를 도우며 의사의 처방이나 규정에 따라 치료를 행한다.

- 환자나 가족들에게 치료, 질병에 대한 설명을 해준다.

- 체온, 맥박, 혈압 등을 통해 환자의 상태를 살피고 약물투여나 외상치료를 하면서 환자의 반응을 관찰한다.

- 건강에 관한 계획을 수립하고 보건활동을 수행한다.

- 13개의 분야로 전문간호사가 나뉘어지며, 가정전문간호사, 감염관리전문간호사, 보건전문간호사, 마취전문간호사, 노인전문간호사, 산업전문간호사, 응급전문간호사, 정신전문간호사, 중환자전문간호사,  호스피스전문간호사, 종양전문간호사, 아동전문간호사, 임상전문 간호사이다.","전문간호사,교정간호사",3천만원 ↑,354,매우좋음,454,104749,,103815,100013,간호사,매우좋음
보건의료 관련 서비스직,"- 간호조무사는 각종 의료기관에서 의사 또는 간호사의 지시 하에 환자의 간호 및 진료에 관련된 업무를 보조한다.

- 환자가 내원하면 안내해주고, 각종 의료검사 및 투약 업무를 보조한다. 

- 환자의 체온, 맥박, 호흡 수 등을 측정하며, 간호를 보조한다.

- 의사나 간호사의 지시에 따라 환자를 치료하고 치료내용을 기록한다.

- 치료에 쓰이는 의약품을 관리하며 의료기구 및 물품을 살균, 소독한다.

- 환자의 상태를 꼼꼼히 살피며, 환자의 운동이나 활동을 돕는다. 

- 환자의 접수 및 수납업무, 각종 문서를 관리·보관하는 등의 원무업무를 돕는다.

- 병원에서 사용하는 약품이나 붕대 등의 의약품을 소독하여 보관·관리하며, 의료기구 및 물품을 소독·살균하는 업무도 수행한다.

- 환자의 검사물이나 진료결과를 의사 또는 간호사에게 전달하며, 환자의 입ㆍ퇴원 수속과 수발 등의 진료 보조 업무를 수행한다.",,2천만원 ↑,355,보통이상,454,104749,,103805,100013,간호조무사,보통미만
회계 관련직,"- 감정평가사는 동산(공장, 자동차, 항공기 등), 부동산(토지, 건물, 아파트, 임야 등), 무형 자산 등의 경제적 가치를 평가하여 그 결과를 화폐가치로 산정한다. 
- 공시지가의 조사 평가, 국세, 지방세 등의 부과 기준 가격 산정을 위한 감정 평가, 공익사업을 위한 보상 평가, 금융 기관 등의 담보 평가, 법원 경매 물건 평가 등을 담당한다.
- 감정 평가 의뢰서를 작성하고 대상물의 감정 목적을 감안하여 감정 계획을 세운다.
- 대상물의 가격에 미치는 모든 요인을 확인하여 대상 물건의 부동산 가격을 조사하고, 해당 물건의 용도, 입지 조건, 주변 시설 등 지역 특성을 살핀다.
- 모든 요인을 종합하여 최적의 감정 방법을 선정, 가격을 환산한 후 감정서를 작성한다.
- 유무형의 재산에 대한 경제적 가치를 판정하여 그 결과를 가액으로 표시한다.","문서감정사,문화재감정사,미술품감정사,보석감정사,위폐감정사",4천만원 ↑,198,매우좋음,454,104743,,103747,100007,감정평가사,보통미만
연기 관련직,"- 개그맨은 주로 텔레비전이나 라디오 프로그램에 출연하여 말과 몸짓으로 사람들에게 웃음을 전달한다. 
- 단막극 형식의 짧은 희극을 창작하여 사람들을 즐겁게 할 수 있는 언어와 행동을 한다. 
- 개인 또는 단체로 대사 연습을 하고, 무대나 드라마에서 사람들을 즐겁게 할 수 있는 연기를 한다.
- 코미디언이나 개그맨은 익살스러운 대사나 행동으로 연기하는 사람을 말하며, 방송 출연 전 아이템 회의부터 프로듀서, 작가와 협력하여 대본을 만들고 연습한다.",,2천만원 ↑,281,매우좋음,454,104732,,103858,100011,개그맨,보통미만
기능직,"- 건물도장원은 건축 구조물의 표면에 도료(페인트, 라커 등)를 입혀 제품과 건축물을 아름답게 하고 오랫동안 보존할 수 있도록 한다. 

- 도면이나 지시서를 숙지하고 도장 당일의 온도, 습도, 바람, 환기조건 등의 환경조건을 살핀다. 

- 도장시 공면을 매끄럽게 하기 위하여 스크레퍼(긁개), 쇠슬, 사포 등을 사용하여 묵은 페인트나 거친부위를 긁어낸다. 

- 퍼티스크레퍼를 사용하여 못구멍, 균열부분, 봉합면을 퍼티, 몰타르 등을 발라 고르게 하고 건조한 후 사포질을 한다. 

- 페인트에 희석제를 섞거나 색조를 혼합하고 솔, 롤러, 분사기 등을 사용하여 지정된 표면에 페인트,래커 등을 칠한다.","페인트공,도장공",3천만원 ↑,65,보통미만,454,104722,,103970,100004,건물도장원,보통미만
공학 기술직,"- 건설견적원은 도로, 교량, 건축구조물, 전기 및 기계 등의 설비 및 시공비용 등을 분석하고 이에 대한 견적서를 작성하는 일을 담당한다. 
- 계약입찰, 시가견적, 설계도면 및 내역서에 기초하여 건설 사업에 필요한 자재, 노동력 및 장비에 대해 가능한 비용견적서를 작성한다. 
- 정보를 수집하여 공사 입찰방법, 경쟁업체 등을 파악하고, 전산기준에 맞게 정확한 수량을 산출하고 이상유무를 확인·수정한다. 
- 견적서를 취합하고, 각종 공사의 입찰결과 분석자료를 활용하여 낙찰가능한 입찰금액을 파악한다. 
- 공사규모에 따른 적정한 인원구성을 산출하고 견적에 적용하여 전체적인 공사비를 산출하며, 입찰내역서, 협력업체 등 입찰관련 서류를 작성한다.","적산원,토목견적기술공",4천만원 ↑,1130,보통미만,454,"104728,104728",,103951,100003,건설견적원,보통미만
공학 기술직,"- 건설공사품질관리원은 공정관리에 따라 건설자재에 대한 품질시험을 실시하고, 건설 재료의 품질과 안정성을 검사하여 부실 공사를 방지하고 건설 사고를 예방하는 일을 담당한다. 
- 건설 설계도를 검토하여 품질보증계획서 혹은 품질시험계획서를 작성하고, 건설 현장의 토질과 지반이 예정된 건설 공사에 적합한지 검사한다. 
- 계측기와 시험 장비를 이용하여 콘크리트, 철근 및 마감 재료 등에 대한 품질검사를 실시하고, 결함이 발견되면 그에 따른 조치를 취해 사고를 예방할 수 있도록 한다. 
- 그 외 파괴시험, 비파괴시험, 토공사 점검, 마감공사 점검 등의 업무를 수행한다.",,4천만원 ↑,42,좋음,454,"104728,104728",,103956,100003,건설공사품질관리원,보통미만
일반운전 관련직,"- 건설기계운전원은 건설 공사에 필요한 다양한 작업을 위해 각종 건설 기계를 운전한다.
- 작업지시서 또는 작업현장을 파악하고 작업에 필요한 부품, 작업시간, 작업절차 등을 결정한다. 
- 기계의 작동상태를 검사하고 작업지시에 따라 건설기계를 조종하여 작업한다. 
- 예정된 절차와 순서에 따라 중기를 운전, 조작하여 작업을 수행하고, 작업의 정확도를 확인하고 필요한 수정을 한다. 
- 대표적인 건설기계인 불도저는 땅을 깎거나 평평하게 하고, 굴삭기는 땅을 파서 흙을 트럭에 싣거나 강이나 호수의 바닥을 준설하고, 암석이나 도로 등을 파쇄 한다. 지게차는 원목, 철재, 제품 등을 적재하고 운반하며, 기중기는 철제 빔 등의 무거운 물건을 들어 올려 다른 장소로 옮긴다.
- 작업지시서 또는 작업현장을 파악하고 작업에 필요한 부품, 작업시간, 작업절차 등을 결정한다.
- 예정된 절차와 순서에 따라 중기를 운전, 조작하여 작업을 수행한다.
- 하수, 배수, 물, 기름, 가스 또는 유사한 파이프라인을 위한 도랑을 파는 기계를 조작한다.
- 흙, 모래, 눈 및 기타 물질을 이동, 분배 및 정지하기 위하여 강철 날이 달린 기계를 조작한다.",중장비기사,4천만원 ↑,77,보통미만,454,104721,,103975,100004,건설기계운전원,보통미만
공학 전문직,"- 건축공학기술자는 건축물의 공사에 대하여 전체적인 관리와 감독을 하고 구조를 설계하거나 기타 시공에 관련된 기술적 자문을 한다.
- 건축공학기술자는 공사가 설계도면에 따라 진행되는지 관리·감독할 뿐 아니라 공사 현장의 안전, 환경, 건축물의 품질, 공사를 위한 재료나 인력 등도 관리·감독한다.
- 공사 기간이나 시공 방법, 건설기능사 및 인부 등의 투입 인력의 규모, 건설기계 및 건설자재 투입량 등의 세부공정을 수립하고 시행한다.
- 이외에도 건축물에 대한 구조설계를 하거나 건축 구조물에 대한 구조계산 및 시공에 관한 일을 한다. 
- 공사가 설계에 따라 제대로 진행되고 있는지 감독하고 현장관리를 한다.
- 건설기능공이나 인부들의 기술적인 문제를 해결하고 안전사고 예방을 한다. 
- 견적, 발주, 설계변경, 원가관리 등의 행정적인 업무를 한다. 
- 업무에 따라 작업지시를 하는 공정관리기술자, 경제적이고 고품질의 시공이 이루어지도록 하는 품질관리기술자, 생산성 향상 및 건설 현장의 안전을 담당하는 안전관리기술자, 환경오염을 최소화하는 환경관리기술자로 분류하기도 한다.","건축설계기술자,건축가,건축기사,건축사",4천만원 ↑,46,보통미만,454,"104729,104729",,103951,100003,건축공학기술자,보통미만
공학 전문직,"- 건축사는 건축주(고객)의 의뢰를 받아 조형미, 경제성, 안전성, 기능성 등을 고려하여 주택, 사무용 빌딩, 병원, 체육관, 교회 등의 건축물을 계획하고 설계하는 일을 한다.

- 국가로부터 전문자격을 인정받은 건축사는 전문지식을 바탕으로 건축계획안 및 설계 도서를 작성한다. 

- 설계도서 내용들이 시공과정에 정확히 반영되는지를 확인하는 감리업무를 통해 건축주 및 시공자에게 공정한 조언과 기술 지도를 한다.","도시계획기술사,실내디자이너",4천만원 ↑,1277,보통미만,454,"104729,104729",,103951,100003,건축사,보통미만
